Иероглиф,Основное значение,Дополнительное значение,Примечание
岔,ответвление,,
肝,печень,,
肛,задний проход,,
肚,живот,,
肘,локоть,,
肠,кишки,,
龟,пресноводная черепаха,,
甸,округа,окрестности столицы,
免,избегать,,
狂,бешеный,,
犹,всё ещё,,
狈,мифический зверь,,
角,рог,,
删,сокращать,,
条,ветка,,
彤,ярко-красный,,
卵,яйцеклетка,,
灸,кит. мед. прижигать,,
岛,остров,,
刨,рыть,,
迎,встречать,,
饭,еда,,
饮,пить,,
系,система,привязывать,
言,речь,,
冻,замерзать,,
状,наружность,,
亩,Китайский акр,,
况,положение,тем более,
床,кровать,,
库,сарай,,
庇,защищать,,
疗,лечить,,
吝,скупой,,
应,следует,отвечать; откликаться,
这,это,,
冷,холодный,,
庐,хижина,,
序,порядок,,
辛,терпкий,,
弃,бросать,,
冶,плавить,,
忘,забывать,,
闰,вставной месяц,,
闲,свободное время,,
间,промежуток времени,,
闷,невесёлый,,
判,решать,,
兑,менять,,
灶,кухонный очаг,,
灿,сияющий,,
灼,жечь,,
弟,младший брат,,
汪,ширь,,
沐,мыть голову,,
沛,проливной,,
汰,мыть,,
沥,капать,,
沙,песок,,
汽,пар,,
沃,поливать,,
沦,потонуть,,
汹,заваливать бурлящую пучину,,
泛,плыть,,
沧,голубой,,
没,то не,,
沟,канава,,
沪,сокр. Шанхай,,
沈,сок,,
沉,тонуть,,
沁,просачиваться,,
怀,пазуха,,
忧,горевать,,
忱,искренность,,
快,скорый,,
完,завершить,,
宋,сунская эпоха,,
宏,обширный,,
牢,загон,,
究,расследовать,,
穷,бедный,,
灾,стихийное бедствие,,
良,хороший,,
证,доказывать,,
启,открывать,,
评,оценивать,,
补,латать,,
初,начальный,,
社,общество,,
祀,жертвоприношение,,
识,знать,,
诈,обманывать,,
诉,жаловаться,,
罕,редкий,,
诊,осматривать,,
词,слово,,
译,переводить,,
君,государь,,
灵,душа,,
即,подходить близко,,
层,этаж,,
屁,газы,,
尿,моча,,
尾,/счётное слово,,
迟,замедленный,,
局,бюро,,
改,изменяться,,
张,натягивать,,
忌,завидовать,,
际,межа,,
陆,суша,,
阿,холм,,
陈,расставлять,,
阻,преграждать,,
附,прикрепить,,
坠,падать,,
妓,публичный дом,,
妙,красивый,,
妖,странный,,
姊,старшая сестра,,
妨,вредить,,
妒,завидовать,,
努,напрягать,,
忍,стерпеть,,
劲,сила,,
矣,конечная частица,уже; же,
鸡,курица,,
纬,уток,,
驱,нестись,,
纯,чистый,,
纱,нить,,
纲,посадка,,
纳,вносить,,
驳,опровергать,,
纵,распускаться,,
纷,смешанный,,
纸,бумага,,
纹,узор,,
纺,прясть,,
驴,осёл,,
纽,верёвочная петля,,
奉,принимать,,
玩,играть,,
环,кольцо,,
武,военное дело,,
青,густой,,
责,ответственность,,
现,ныне,,
玫,роза,,
表,поверхность,таблица,
规,циркуль,,
抹,тереть,,
卦,триграмма,,
坷,только в сочетании,,
坯,из необожжённой глины,,
拓,расширять,,
拢,сблизиться,,
拔,вытаскивать,,
坪,ровная местность,,
拣,выбирать,,
坦,ровный и широкий,,
担,нести,,
坤,Кунь,,
押,закладывать,,
抽,тащить на себя,,
拐,обмануть,,
拖,тянуть,,
者,тот,суффикс деятеля,
拍,ракетка,,
顶,голова,,
拆,разбирать,,
拎,нести в руках,,
拥,обнимать,,
抵,соответствовать,,
拘,хватать,,
势,сила,,
抱,обнимать,,
拄,устанавливать,,
垃,отбросы,,
拉,тянуть,,
拦,преграждать,,
幸,счастливый,,
拌,мешать,,
拧,выжимать,,
拂,сметать,,
拙,тупоумный,,
招,манить,,
坡,склон,,
披,накидывать,,
拨,толкать,,
择,выбирать,,
抬,поднимать,,
拇,большой палец ноги,,
拗,ломать,,
其,его,этот; тот,
取,брать,,
茉,жасмин,,
苦,горький,,
昔,прежде,,
苛,жестокий,,
若,быть схожим,,
茂,цветущий,,
苹,яблоко,,
苗,всходы,,
英,цветок,,
苟,если,,
苑,пастбище,,
苞,тростник,,
范,образец,,
直,прямой,,
茁,как пышно разросся этот камыш!,,
茄,баклажан,,
茎,стебель,,
苔,мох,,
茅,тростник,,
枉,кривой,,
林,лес,,
枝,ветка,,
杯,чайная чашка,,
枢,шарнир дверной створки,,
柜,сундук,,
枚,штука,,
析,колоть,,
板,доска,,
松,взлохмаченный,,
枪,пика,,
枫,клён,,
构,постройка,,
杭,переправляться через реку,,
杰,герой,,
述,излагать,,
枕,подушка,,
丧,справлять траур,,
或,некто,,
画,проводить границу,,
卧,лежать,,
事,дело,,
刺,колоть,,
枣,зизифус настоящий,,
雨,дождь,,
卖,продавать,,
郁,густой,,
矾,квасцы,,
矿,минерал,,
码,цифры,,
厕,отхожее место,,
奈,как быть с,терпеть,
奔,бежать,,
奇,необыкновенный,,
奋,расправлять крылья,,
态,форма,,
欧,Европа,,
殴,хлестать,,
垄,насыпь,,
妻,жена,,
轰,бух!,,
顷,около 6,,
转,вращаться,,
斩,обезглавливать,,
轮,колесо,,
软,мягкий,,
到,доходить,,
非,отрицательная связка бытия,,
叔,дядя,,
歧,ответвление дороги,,
肯,соглашаться,,
齿,зуб,,
些,несколько,,
卓,высокий,,
虎,тигр,,
虏,брать в плен,пленный,
肾,почка,,
贤,достойный,,
尚,всё ещё,,
旺,яркий,,
具,инструмент,,
味,вкус,,
果,плод,,
昆,старший брат,,
国,страна,,
哎,боль,,
咕,бормотать,,
昌,цветущий,,
呵,кричать,,
畅,свободно ходить,,
明,светлый,,
易,изменять,,
咙,горло,,
昂,высоко стоять,,
迪,следовать,,
典,основополагающая книга,,
固,крепкий,,
忠,верность,,
呻,стонать,,
咒,мантра,,
咋,вм. 怎么,,
咐,приказывать,,
呼,выдыхать,,
鸣,щебетать,,
咏,петь,,
呢,модальная частица,же; ведь,
咄,цыц!,,
咖,кофе,,
岸,берег,,
岩,скала,,
帖,карточка,,
罗,силок,,
帜,знамя,,
帕,головная повязка,,
岭,хребет,,
凯,победная песнь,,
败,терпеть поражение,,
账,бухг. счёт,,
贩,перекупать,,
贬,уменьшать,,
购,покупать,,
贮,хранить,,
图,план,,
钓,ловить,,
制,режим,,
知,знать,,
迭,попеременно,,
氛,атмосферные явления,,
垂,свешиваться,,
牧,пасти,,
物,вещь,,
乖,послушный,,
刮,строгать,,
秆,соломенная метёлка,,
和,и,гармония; мир,несколько чтений и функций
季,сезон,,
委,посылать,,
秉,держать в руке,,
佳,прекрасный,,
侍,прислуживать,,
岳,гора,,
供,снабжать,,
使,использовать,,
例,пример,,
侠,рыцарь,,
侥,везение,,
版,клише,,
侄,племянник,,
侦,выслеживать,,
侣,товарищ,,
侧,бок,,
凭,полагаться на,,
侨,эмигрант,,
佩,стар. подвеска на парадном поясе,,
货,товар,,
侈,расточительный,,
依,прислоняться,,
卑,низкий,,
的,определительная частица,принадлежность,служебный знак; значение зависит от конструкции
迫,теснить,,
质,природные свойства,,
欣,радоваться,,
征,собирать,,
往,уходить,,
爬,ползать,,
彼,в противопоставлении 此,,
径,тропинка,,
所,местность,,
舍,хижина,,
金,золото,,
刹,будд. поле,,
命,приказ,,
肴,прекрасное вино и великолепная закуска,,
斧,топор,,
爸,отец,,
采,брать,,
觅,искать,,
受,принимать,,
乳,груди,,
贪,страстно желать,,
念,думать,,
贫,бедный,,
忿,сердиться,,
肤,кожа,,
肺,лёгкое,,
肢,четыре конечности,,
肿,опухоль,,
胀,вздуться,,
朋,друг,,
股,нога,,
肮,грязный,,
肪,жир,,
肥,толстый,,
服,платье,,
胁,бок,,
周,круг,,
昏,вечер,,
鱼,рыба,,
兔,заяц,,
狐,лиса,,
忽,неожиданный,,
狗,собака,,
狞,мерзкий бес,,
备,готовить,,
饰,украшать,,
饱,сытый,,
饲,выкармливать,,
变,изменяться,,
京,столица,,
享,пользоваться,,
庞,большой,,
店,магазин,,
夜,убокая ночь,,
庙,храм,,
府,дворец,,
底,дно,,
疟,малярия,,
疙,образование,,
疚,хроническая болезнь,,
剂,средство,,
卒,солдат,,
郊,пригород,,
庚,гэн,,
废,захиреть,,
净,очищать,,
盲,слепой,,
放,отпускать,,
刻,вырезать,,
育,вскармливать,,
氓,народ,,
闸,шлюз,,
闹,шуметь,,
郑,Чжэнчжоу,,
券,билет,,
卷,свёрток,том; экзаменационный лист,
单,нечетный,,
炬,факел,,
炒,калить,,
炊,стряпать,,
